date,week,ws,tce_usd_day,source,note
2024-06-07,2024-23,53.75,32300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-23.html,
2024-06-14,2024-24,51.1,28577,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-24.html,
2024-06-21,2024-25,49.9,26482,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-25.html,
2024-06-28,2024-26,49.7,26135,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-26.html,
2024-07-05,2024-27,48.45,24266,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-27.html,
2024-07-12,2024-28,46.53,22642,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-28.html,
2024-07-19,2024-29,46.9,23262,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-29.html,
2024-07-26,2024-30,58.8,36358,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-30.html,
2024-08-02,2024-31,47,23656,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-31.html,
2024-08-09,2024-32,45.43,22429,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-32.html,
2024-08-16,2024-33,59.25,36999,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-33.html,
2024-08-23,2024-34,52.95,30565,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-34.html,
2024-08-30,2024-35,44.7,20733,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-35.html,
2024-09-06,2024-36,47.5,24409,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-36.html,
2024-09-13,2024-37,54.15,32754,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-37.html,
2024-09-20,2024-38,60.05,39068,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-38.html,
2024-09-27,2024-39,54.35,32152,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-39.html,
2024-10-04,2024-40,57.8,36359,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-40.html,
2024-10-11,2024-41,58,36206,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-41.html,
2024-10-18,2024-42,56.6,34839,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-42.html,
2024-10-25,2024-43,57,35100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-43.html,
2024-11-01,2024-44,52.85,31265,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-44.html,
2024-11-08,2024-45,47.05,24373,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-45.html,
2024-11-15,2024-46,54.1,32383,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-46.html,
2024-11-22,2024-47,53.95,32721,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-47.html,
2024-11-29,2024-48,45.35,23850,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-48.html,
2024-12-06,2024-49,43.35,21967,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-49.html,
2024-12-13,2024-50,39.65,18626,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-50.html,
2024-12-20,2024-51,39,18700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2024/tanker-report-week-51.html,
